Area_Code,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,yield
1,1990,1485,121,16.37,30197
1,1991,1485,121,15.36,20698
1,1992,1485,121,16.06,24388
1,1993,1485,121,16.05,29976
1,1994,1485,201,16.96,24745
1,1995,1485,251,15.67,28703
1,1996,1485,313.96,15.64,21741
1,1997,1485,376.93,15.9,28516
1,1998,1485,439.89,16.27,28037
1,1999,1485,502.86,16.57,24954
1,2000,1485,565.82,16.67,30455
1,2001,1485,628.79,16.59,28220
1,2002,1485,691.75,16.47,31617
1,2004,1485,817.68,16.16,31130
1,2005,1485,880.64,15.67,31582
1,2006,1485,943.61,15.92,30787
1,2007,1485,1006.57,16.67,35496
1,2008,1485,1069.54,16.71,40168
1,2009,1485,1132.5,16.73,40229
1,2010,1485,1311.17,16.52,39905
1,2011,1485,1302.63,16.45,42301
1,2012,1485,766.25,16.7,41096
1,2013,1485,982.32,17.41,41292
2,1990,89,1828.92,17.48,6315
2,1991,89,2461.8,16.26,10809
2,1992,89,1215.47,16.27,9939
2,1993,89,1021.89,17,8097
2,1994,89,1255.02,17.88,7999
2,1995,89,2697.09,17.36,8924
2,1996,89,479.77,16.76,13090
2,1997,89,401.22,17.84,8016
2,1998,89,322.84,17.14,8847
2,1999,89,654.45,17.97,10711
2,2000,89,603.67,17.9,9194
2,2001,89,710.11,18.13,11104
2,2002,89,816.55,17.85,10739
2,2004,89,3747.86,17.38,13582
2,2005,89,3662.87,17.19,15057
2,2006,89,4110.72,18.13,15068
2,2007,89,5390.79,17.42,12742
2,2008,89,11556.12,17.55,11038
2,2009,89,3867.99,17.78,15975
2,2010,89,1295.88,17.59,14838
2,2011,89,13861.76,17.79,17405
2,2012,89,17379.76,17.91,17639
2,2013,89,17278.65,17.65,19100
3,1990,1010,64,24.12,7995
3,1991,1010,79,24.02,8000
3,1992,1010,23,23.96,8000
3,1993,1010,169,24.15,8876
3,1994,1010,25.5,24.04,10000
3,1995,1010,336,24.56,11855
3,1996,1010,40,24.11,13738
3,1997,1010,40,24.06,15509
3,1998,1010,40,24.96,17143
3,1999,1010,40,24.37,17391
3,2000,1010,40,24.41,17023
3,2001,1010,40,24.43,16667
3,2002,1010,40,24.79,15455
3,2004,1010,40,24.22,12442
3,2005,1010,40,24.41,10946
3,2006,1010,40,24.14,10000
3,2007,1010,40,24.24,10000
3,2008,1010,40,24.27,10000
3,2009,1010,40,24.33,10000
3,2010,1010,40,24.44,10526
3,2011,1010,40,24.15,10959
3,2012,1010,40,24.24,11258
3,2013,1010,40,24.55,9022
4,1990,591,26156,17.46,18947
