Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,yield
1,Maize,1990,1485,121,16.37,36613
1,Potatoes,1990,1485,121,16.37,66667
1,"Rice, paddy",1990,1485,121,16.37,23333
1,Sorghum,1990,1485,121,16.37,12500
1,Soybeans,1990,1485,121,16.37,7000
1,Wheat,1990,1485,121,16.37,30197
1,Maize,1991,1485,121,15.36,29068
1,Potatoes,1991,1485,121,15.36,77818
1,"Rice, paddy",1991,1485,121,15.36,28538
1,Sorghum,1991,1485,121,15.36,6667
1,Soybeans,1991,1485,121,15.36,6066
1,Wheat,1991,1485,121,15.36,20698
1,Maize,1992,1485,121,16.06,24876
1,Potatoes,1992,1485,121,16.06,82920
1,"Rice, paddy",1992,1485,121,16.06,40000
1,Sorghum,1992,1485,121,16.06,3747
1,Soybeans,1992,1485,121,16.06,4507
1,Wheat,1992,1485,121,16.06,24388
1,Maize,1993,1485,121,16.05,24185
1,Potatoes,1993,1485,121,16.05,98446
1,"Rice, paddy",1993,1485,121,16.05,41786
1,Soybeans,1993,1485,121,16.05,7998
1,Wheat,1993,1485,121,16.05,29976
1,Maize,1994,1485,201,16.96,25848
1,Potatoes,1994,1485,201,16.96,81404
1,Soybeans,1994,1485,201,16.96,7927
1,Wheat,1994,1485,201,16.96,24745
1,Maize,1995,1485,251,15.67,31300
1,Potatoes,1995,1485,251,15.67,111323
1,Soybeans,1995,1485,251,15.67,11791
1,Wheat,1995,1485,251,15.67,28703
1,Maize,1996,1485,313.96,15.64,32604
1,Potatoes,1996,1485,313.96,15.64,106138
1,Soybeans,1996,1485,313.96,15.64,15480
1,Wheat,1996,1485,313.96,15.64,21741
1,Maize,1997,1485,376.93,15.9,31862
1,Potatoes,1997,1485,376.93,15.9,109874
1,Soybeans,1997,1485,376.93,15.9,12768
1,Wheat,1997,1485,376.93,15.9,28516
1,Maize,1998,1485,439.89,16.27,33416
1,Potatoes,1998,1485,439.89,16.27,127212
1,Soybeans,1998,1485,439.89,16.27,14327
1,Wheat,1998,1485,439.89,16.27,28037
1,Maize,1999,1485,502.86,16.57,37455
1,Potatoes,1999,1485,502.86,16.57,142018
1,Soybeans,1999,1485,502.86,16.57,17143
1,Wheat,1999,1485,502.86,16.57,24954
1,Maize,2000,1485,565.82,16.67,38811
1,Potatoes,2000,1485,565.82,16.67,141228
1,Soybeans,2000,1485,565.82,16.67,15000
1,Wheat,2000,1485,565.82,16.67,30455
1,Maize,2001,1485,628.79,16.59,38135
1,Potatoes,2001,1485,628.79,16.59,148818
1,Soybeans,2001,1485,628.79,16.59,20000
1,Wheat,2001,1485,628.79,16.59,28220
1,Maize,2002,1485,691.75,16.47,39460
1,Potatoes,2002,1485,691.75,16.47,153868
1,Soybeans,2002,1485,691.75,16.47,20000
1,Wheat,2002,1485,691.75,16.47,31617
1,Maize,2004,1485,817.68,16.16,46197
1,Potatoes,2004,1485,817.68,16.16,149346
1,Soybeans,2004,1485,817.68,16.16,13333
1,Wheat,2004,1485,817.68,16.16,31130
1,Maize,2005,1485,880.64,15.67,45442
1,Potatoes,2005,1485,880.64,15.67,167061
1,Soybeans,2005,1485,880.64,15.67,17500
1,Wheat,2005,1485,880.64,15.67,31582
1,Maize,2006,1485,943.61,15.92,50111
1,Potatoes,2006,1485,943.61,15.92,170745
1,Soybeans,2006,1485,943.61,15.92,20000
1,Wheat,2006,1485,943.61,15.92,30787
1,Maize,2007,1485,1006.57,16.67,46732
1,Potatoes,2007,1485,1006.57,16.67,188902
1,Soybeans,2007,1485,1006.57,16.67,20000
1,Wheat,2007,1485,1006.57,16.67,35496
1,Maize,2008,1485,1069.54,16.71,50000
1,Potatoes,2008,1485,1069.54,16.71,193878
1,Soybeans,2008,1485,1069.54,16.71,20000
1,Wheat,2008,1485,1069.54,16.71,40168
1,Maize,2009,1485,1132.5,16.73,55693
1,Potatoes,2009,1485,1132.5,16.73,219780
1,Soybeans,2009,1485,1132.5,16.73,16667
1,Wheat,2009,1485,1132.5,16.73,40229
1,Maize,2010,1485,1311.17,16.52,66790
1,Potatoes,2010,1485,1311.17,16.52,231111
1,Soybeans,2010,1485,1311.17,16.52,16667
1,Wheat,2010,1485,1311.17,16.52,39905
1,Maize,2011,1485,1302.63,16.45,59869
1,Potatoes,2011,1485,1302.63,16.45,242211
1,Soybeans,2011,1485,1302.63,16.45,18519
1,Wheat,2011,1485,1302.63,16.45,42301
1,Maize,2012,1485,766.25,16.7,67290
1,Potatoes,2012,1485,766.25,16.7,250538
1,Soybeans,2012,1485,766.25,16.7,13333
1,Wheat,2012,1485,766.25,16.7,41096
1,Maize,2013,1485,982.32,17.41,69533
1,Potatoes,2013,1485,982.32,17.41,260110
1,Soybeans,2013,1485,982.32,17.41,10000
1,Wheat,2013,1485,982.32,17.41,41292
2,Maize,1990,89,1828.92,17.48,16500
2,Potatoes,1990,89,1828.92,17.48,78936
2,"Rice, paddy",1990,89,1828.92,17.48,28000
2,Sorghum,1990,89,1828.92,17.48,16571
2,Wheat,1990,89,1828.92,17.48,6315
2,Maize,1991,89,2461.8,16.26,19231
2,Potatoes,1991,89,2461.8,16.26,90747
2,"Rice, paddy",1991,89,2461.8,16.26,26786
2,Sorghum,1991,89,2461.8,16.26,24231
2,Wheat,1991,89,2461.8,16.26,10809
2,Maize,1992,89,1215.47,16.27,22828
2,Potatoes,1992,89,1215.47,16.27,107917
2,"Rice, paddy",1992,89,1215.47,16.27,24733
2,Sorghum,1992,89,1215.47,16.27,40000
2,Wheat,1992,89,1215.47,16.27,9939
2,Maize,1993,89,1021.89,17,12500
2,Potatoes,1993,89,1021.89,17,111215
2,"Rice, paddy",1993,89,1021.89,17,23111
2,Sorghum,1993,89,1021.89,17,50000
2,Wheat,1993,89,1021.89,17,8097
2,Maize,1994,89,1255.02,17.88,4512
2,Potatoes,1994,89,1255.02,17.88,95078
2,"Rice, paddy",1994,89,1255.02,17.88,21374
2,Wheat,1994,89,1255.02,17.88,7999
2,Maize,1995,89,2697.09,17.36,16115
2,Potatoes,1995,89,2697.09,17.36,136768
2,"Rice, paddy",1995,89,2697.09,17.36,19598
2,Sorghum,1995,89,2697.09,17.36,12667
2,Wheat,1995,89,2697.09,17.36,8924
2,Maize,1996,89,479.77,16.76,17154
2,Potatoes,1996,89,479.77,16.76,134629
2,"Rice, paddy",1996,89,479.77,16.76,17861
2,Sorghum,1996,89,479.77,16.76,14750
2,Wheat,1996,89,479.77,16.76,13090
2,Maize,1997,89,401.22,17.84,21417
2,Potatoes,1997,89,401.22,17.84,141042
2,"Rice, paddy",1997,89,401.22,17.84,15000
2,Sorghum,1997,89,401.22,17.84,40000
2,Wheat,1997,89,401.22,17.84,8016
2,Maize,1998,89,322.84,17.14,17222
2,Potatoes,1998,89,322.84,17.14,160256
2,"Rice, paddy",1998,89,322.84,17.14,15000
2,Sorghum,1998,89,322.84,17.14,24500
2,Wheat,1998,89,322.84,17.14,8847
2,Maize,1999,89,654.45,17.97,22375
2,Potatoes,1999,89,654.45,17.97,153532
2,"Rice, paddy",1999,89,654.45,17.97,13942
2,Sorghum,1999,89,654.45,17.97,27000
2,Wheat,1999,89,654.45,17.97,10711
2,Maize,2000,89,603.67,17.9,36186
2,Potatoes,2000,89,603.67,17.9,166143
2,"Rice, paddy",2000,89,603.67,17.9,13052
2,Sorghum,2000,89,603.67,17.9,69500
2,Wheat,2000,89,603.67,17.9,9194
2,Maize,2001,89,710.11,18.13,27175
2,Potatoes,2001,89,710.11,18.13,147018
2,"Rice, paddy",2001,89,710.11,18.13,12314
2,Sorghum,2001,89,710.11,18.13,27750
2,Wheat,2001,89,710.11,18.13,11104
2,Maize,2002,89,816.55,17.85,33480
2,Potatoes,2002,89,816.55,17.85,183774
2,"Rice, paddy",2002,89,816.55,17.85,12959
2,Sorghum,2002,89,816.55,17.85,33900
2,Wheat,2002,89,816.55,17.85,10739
2,Maize,2004,89,3747.86,17.38,31729
2,Potatoes,2004,89,3747.86,17.38,203585
2,"Rice, paddy",2004,89,3747.86,17.38,12829
2,Sorghum,2004,89,3747.86,17.38,43316
2,Wheat,2004,89,3747.86,17.38,13582
2,Maize,2005,89,3662.87,17.19,33864
2,Potatoes,2005,89,3662.87,17.19,216267
2,"Rice, paddy",2005,89,3662.87,17.19,12998
2,Sorghum,2005,89,3662.87,17.19,33486
2,Wheat,2005,89,3662.87,17.19,15057
2,Maize,2006,89,4110.72,18.13,65668
2,Potatoes,2006,89,4110.72,18.13,220689
2,"Rice, paddy",2006,89,4110.72,18.13,12769
2,Sorghum,2006,89,4110.72,18.13,56728
2,Wheat,2006,89,4110.72,18.13,15068
2,Maize,2007,89,5390.79,17.42,85625
2,Potatoes,2007,89,5390.79,17.42,189927
2,"Rice, paddy",2007,89,5390.79,17.42,13375
2,Sorghum,2007,89,5390.79,17.42,119059
2,Wheat,2007,89,5390.79,17.42,12742
2,Maize,2008,89,11556.12,17.55,44714
2,Potatoes,2008,89,11556.12,17.55,236393
